Sno,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
1,1,0,0,0,1
2,1,0,0,0,1
3,2,0,0,0,2
4,3,0,0,0,3
5,3,0,0,0,3
6,3,0,0,0,3
7,3,0,0,0,3
8,3,0,0,0,3
9,3,0,0,0,3
10,3,0,0,0,3
11,3,0,0,0,3
12,3,0,0,0,3
13,3,0,0,0,3
14,3,0,0,0,3
15,3,0,0,0,3
16,3,0,0,0,3
17,3,0,0,0,3
18,3,0,0,0,3
19,3,0,0,0,3
20,3,0,0,0,3
21,3,0,0,0,3
22,3,0,0,0,3
23,3,0,0,0,3
24,3,0,0,0,3
25,3,0,0,0,3
26,3,0,0,0,3
27,3,0,0,0,3
28,3,0,0,0,3
29,3,0,0,0,3
30,3,0,0,0,3
31,3,0,0,0,3
32,3,0,0,0,3
33,1,0,0,0,1
34,3,0,0,0,3
35,1,0,0,0,1
36,1,0,0,0,1
37,0,1,0,0,1
38,3,0,3,0,3
39,1,0,0,0,1
40,6,0,0,0,6
41,3,0,3,0,3
42,0,2,0,0,2
43,1,0,0,0,1
44,1,0,0,0,1
45,1,14,0,0,15
46,2,0,0,0,2
47,0,2,0,0,2
48,3,0,3,0,3
49,1,14,0,0,15
50,1,0,0,0,1
51,7,0,0,0,7
52,3,0,0,0,3
53,0,2,0,0,2
54,3,0,3,0,3
55,1,14,0,0,15
56,7,0,0,0,7
57,1,0,0,0,1
58,3,0,3,0,3
59,7,0,0,0,7
60,2,0,0,0,2
61,1,0,0,0,1
62,1,0,0,0,1
63,3,0,0,0,3
64,0,2,0,0,2
65,1,14,0,0,15
66,2,0,0,0,2
67,1,0,0,0,1
68,1,0,0,0,1
69,1,14,0,0,15
70,8,0,3,0,8
71,0,2,0,0,2
72,3,0,0,0,3
73,7,0,0,0,7
74,2,0,0,0,2
75,1,0,0,0,1
76,9,0,3,0,9
77,2,0,0,0,2
78,1,0,0,0,1
79,1,14,0,0,15
80,1,0,0,0,1
81,1,0,0,0,1
82,1,0,0,0,1
83,7,0,0,0,7
84,0,2,0,0,2
85,4,0,0,0,4
86,7,0,0,0,7
87,2,0,0,0,2
88,4,0,0,0,4
89,0,2,0,0,2
90,4,0,0,0,4
91,15,0,3,0,15
92,5,0,0,0,5
93,1,0,0,0,1
94,1,14,0,0,15
95,1,0,0,0,1
96,1,0,0,0,1
97,1,0,0,0,1
98,2,0,0,0,2
99,5,0,0,0,5
100,0,14,0,0,14
101,17,0,3,0,17
102,1,2,0,0,3
103,1,0,0,0,1
104,9,0,0,0,9
105,2,0,0,0,2
106,1,0,0,0,1
107,1,0,0,0,1
108,1,0,0,0,1
109,4,0,0,0,4
110,6,0,0,0,6
111,0,14,0,0,14
112,17,0,3,0,17
113,1,2,0,0,3
114,1,0,0,0,1
115,10,1,0,0,11
116,3,0,0,0,3
117,1,0,0,0,1
118,1,0,0,0,1
119,1,0,0,0,1
120,4,0,0,0,4
121,11,0,0,0,11
122,1,0,0,0,1
123,6,0,0,0,6
124,0,14,0,0,14
125,19,0,3,0,19
126,1,2,0,0,3
127,1,0,0,0,1
128,10,1,0,0,11
129,3,0,0,0,3
